entropy_type,entropy
correct train,0.22288328
correct train,0.33525962
correct train,0.6208932
correct train,0.058464814
correct train,0.00013924149
correct train,0.13032417
correct train,0.00771821
correct train,0.090877265
correct train,0.048435986
correct train,0.1428105
correct train,0.43883887
correct train,0.4287009
correct train,0.40479374
correct train,0.5846435
correct train,0.075756356
correct train,0.22413234
correct train,0.5468521
correct train,0.0042870506
correct train,0.69284946
correct train,0.038177673
correct train,0.030504182
correct train,0.693105
correct train,0.051379427
correct train,0.47392896
correct train,0.47529942
correct train,0.47446388
correct train,0.17151587
correct train,0.36919588
correct train,0.22058028
correct train,0.3086719
correct train,0.00088943256
correct train,0.014683699
correct train,0.00018765926
correct train,0.47584724
correct train,0.29578468
correct train,0.0452841
correct train,0.47412527
correct train,0.4790284
correct train,0.0058005163
correct train,0.27544683
correct train,0.5792216
correct train,0.16495863
correct train,0.3403216
correct train,0.20439339
correct train,0.38235936
correct train,0.2714566
correct train,0.11251743
correct train,0.51844305
correct train,0.0002456658
correct train,0.627357
correct train,0.08488264
correct train,0.27985936
correct train,0.066561505
correct train,0.00018967938
correct train,0.47419643
correct train,2.5918641e-08
correct train,0.5298027
correct train,0.0026847702
correct train,0.13063163
correct train,0.016259994
correct train,0.67419565
correct train,4.488024e-05
correct train,0.2615269
correct train,0.3271945
correct train,0.2646912
correct train,0.21042779
correct train,0.25182822
correct train,0.3451852
correct train,0.02510153
correct train,0.00088943256
correct train,0.0003488175
correct train,0.49115732
correct train,0.0023350206
correct train,0.66152453
correct train,0.3124212
correct train,0.13877971
correct train,6.048845e-05
correct train,0.0150632905
correct train,0.03368554
correct train,0.0019651947
correct train,0.2142021
correct train,0.52686876
correct train,0.109666035
correct train,0.26224506
correct train,0.00032241544
correct train,0.621639
correct train,0.53666395
correct train,0.3031877
correct train,0.5953984
correct train,0.28664
correct train,0.60993224
correct train,0.670341
correct train,0.3399679
correct train,0.43514973
correct train,0.20943478
correct train,0.357445
correct train,0.4761838
correct train,4.185472e-05
correct train,0.36603096
correct train,0.2589973
correct train,0.00022452747
correct train,0.24530873
correct train,0.25790462
correct train,0.5791781
correct train,0.47419643
correct train,0.475208
correct train,0.00049395
correct train,0.6893028
correct train,0.4848466
correct train,0.48110688
correct train,0.47419643
correct train,0.28471833
correct train,0.47419643
correct train,0.47419643
correct train,0.00016662056
correct train,0.39746198
correct train,0.00011725085
correct train,0.49093586
correct train,0.20158315
correct train,0.31332466
correct train,0.31057692
correct train,0.37273413
correct train,0.02721484
correct train,0.36432606
correct train,0.00095209095
correct train,0.31476557
correct train,3.294858e-14
correct train,0.29885188
correct train,0.29125628
correct train,0.044380736
correct train,0.3537381
correct train,0.33208323
correct train,0.4104616
correct train,0.044684492
correct train,0.063299745
correct train,0.68513566
correct train,0.4272141
correct train,0.51425636
correct train,0.11493534
correct train,0.0025025678
correct train,0.6508476
correct train,0.0026984084
correct train,0.34504318
correct train,0.27620864
correct train,1.6045926e-05
correct train,0.16306451
correct train,0.21759753
correct train,0.30449963
correct train,0.3151542
correct train,0.007847013
correct train,0.35458264
correct train,0.04711367
correct train,0.00088943256
correct train,0.59342384
correct train,0.10108141
correct train,0.002713666
correct train,0.0523713
correct train,0.0015311661
correct train,0.47419643
correct train,0.004165349
correct train,0.30273706
correct train,0.60566443
correct train,0.35018295
correct train,0.18737048
correct train,0.028550757
correct train,0.49016026
correct train,0.31800964
correct train,0.6525676
correct train,0.1041102
correct train,0.5889138
correct train,0.34013847
correct train,0.20150352
correct train,0.2619136
correct train,0.27044868
correct train,0.31182957
correct train,0.29502615
correct train,0.6641789
correct train,0.40555173
correct train,0.2590142
correct train,0.23313634
correct train,0.057083733
correct train,0.00015188952
correct train,0.00088943256
correct train,0.19180776
correct train,0.026705561
correct train,0.4566549
correct train,0.16547607
correct train,0.45953822
correct train,0.25474757
correct train,0.012345415
correct train,0.67295223
correct train,0.40814266
correct train,0.18490134
correct train,0.507341
correct train,0.31885877
correct train,0.49767137
correct train,0.00013384447
correct train,0.0010070088
correct train,0.30474895
correct train,0.04462015
correct train,0.5896846
correct train,0.07423416
correct train,0.43879184
correct train,0.62619174
correct train,3.6368215e-06
correct train,0.110922016
correct train,0.16495863
correct train,0.00019025974
correct train,0.3178424
correct train,0.25692523
correct train,0.0054849545
correct train,0.057908975
correct train,0.28904864
correct train,0.0007882259
correct train,0.34009063
correct train,0.6172079
correct train,0.30840215
correct train,0.00087173295
correct train,1.3616795e-05
correct train,0.0024705394
correct train,0.4200857
correct train,0.04498589
correct train,0.6740402
correct train,0.58402693
correct train,0.60244954
correct train,0.27235115
correct train,0.28951854
correct train,0.32419068
correct train,0.39565125
correct train,0.24455373
correct train,0.33598414
correct train,0.5256889
correct train,0.3728811
correct train,0.66301227
correct train,0.32186693
correct train,0.3532013
correct train,0.30391294
correct train,0.0043450072
correct train,0.39754945
correct train,0.23783922
correct train,0.47647488
correct train,0.5602642
correct train,0.28725114
correct train,0.6922044
correct train,0.1656971
correct train,0.26947385
correct train,0.30060995
correct train,0.6154094
correct train,0.07076899
correct train,0.6398504
correct train,0.28667387
correct train,0.14229868
correct train,0.6722569
correct train,9.132156e-05
correct train,0.29113495
correct train,7.180333e-05
correct train,0.6611115
correct train,0.21901503
correct train,0.01649315
correct train,4.226062e-07
correct train,0.3273424
correct train,0.5296034
correct train,0.24910015
correct train,0.6915859
correct train,0.29790223
correct train,3.023747e-07
correct train,0.26989928
correct train,0.37198552
correct train,0.2664371
correct train,0.26300704
correct train,0.23192102
correct train,0.17221871
correct train,0.0047288015
correct train,0.30972683
correct train,0.5507835
correct train,0.26947385
correct train,0.6923354
correct train,4.5196648e-05
correct train,0.6657052
correct train,0.0013319664
correct train,0.014515818
correct train,0.49450624
correct train,0.22513641
correct train,0.18682298
correct train,0.54593617
correct train,0.44138354
correct train,0.003302908
correct train,0.21946101
correct train,0.012041558
correct train,0.48144042
correct train,0.6549727
correct train,0.34726706
correct train,5.868698e-06
correct train,0.32318422
correct train,0.603433
correct train,0.16962032
correct train,0.03368554
correct train,0.58065283
correct train,0.00088943256
correct train,0.1554727
correct train,0.58212054
correct train,0.57227564
correct train,0.49674678
correct train,0.12317515
correct train,2.876713e-06
correct train,0.0042017773
correct train,0.26540548
correct train,0.012986369
correct train,0.23054194
correct train,0.18482964
correct train,0.0070452597
correct train,0.39287698
correct train,0.3226906
correct train,0.088415556
correct train,6.554855e-07
correct train,0.08274868
correct train,0.25110376
correct train,0.0006708107
correct train,0.26564172
correct train,6.73274e-08
correct train,0.29872316
correct train,0.1498186
correct train,0.2632053
correct train,0.2825743
correct train,0.16291204
correct train,0.6522342
correct train,0.2795245
correct train,0.22326079
correct train,0.30941078
correct train,0.008092361
correct train,0.33601624
correct train,0.16942203
correct train,0.35288107
correct train,0.6747795
correct train,0.0414035
correct train,0.45065624
correct train,0.5960688
correct train,0.64786917
correct train,0.12894382
correct train,0.22072096
correct train,0.5319972
correct train,0.518899
correct train,0.6158144
correct train,0.53374875
correct train,0.094372675
correct train,3.1747808e-05
correct train,0.26590943
correct train,0.30524665
correct train,0.12545215
correct train,0.36218658
correct train,0.47419643
correct train,0.60283417
correct train,0.6669922
correct train,0.30913365
correct train,0.64089596
correct train,0.0434328
correct train,0.09667602
correct train,0.54083955
correct train,0.6570084
correct train,0.3605128
correct train,0.33524156
correct train,0.69067276
correct train,0.33762157
correct train,0.32737857
correct train,0.00088943256
correct train,3.2356027e-05
correct train,0.3307587
correct train,0.0062925816
correct train,0.3312042
correct train,7.970455e-05
correct train,0.5085167
correct train,0.0045166495
correct train,0.47993118
correct train,0.2617522
correct train,0.31427822
correct train,0.5388539
correct train,0.05211283
correct train,0.26663676
correct train,0.32937104
correct train,0.45660925
correct train,0.5604597
correct train,0.3299895
correct train,0.6358448
correct train,0.32634494
correct train,0.40565073
correct train,0.692927
correct train,0.0066213086
correct train,0.2695025
correct train,0.33277622
correct train,0.3910244
correct train,0.29082257
correct train,0.26113772
correct train,0.23003146
correct train,0.07301776
correct train,0.44711447
correct train,0.0026383703
correct train,0.2638385
correct train,0.0005606864
correct train,0.2750074
correct train,0.29363722
correct train,0.47446388
correct train,0.0012446201
correct train,0.322771
correct train,0.026824834
correct train,0.31986645
correct train,0.214235
correct train,0.31624195
correct train,0.45675266
correct train,0.47836939
correct train,0.18682618
correct train,0.42670906
correct train,0.17307906
correct train,0.40910435
correct train,0.096563384
correct train,0.38213074
correct train,0.0021982184
correct train,0.32599986
correct train,8.615404e-17
correct train,5.147095e-05
correct train,0.31822005
correct train,0.4041069
correct train,0.16280948
correct train,0.49648786
correct train,0.0008976535
correct train,0.15810902
correct train,0.48934042
correct train,0.04533774
correct train,0.6280552
correct train,0.42744833
correct train,0.31467968
correct train,0.5637409
correct train,0.06260971
correct train,0.4935791
correct train,0.10066438
correct train,0.22516926
correct train,0.62861305
correct train,0.6605537
correct train,0.063979045
correct train,0.30387527
correct train,0.03368554
correct train,0.48532408
correct train,0.3407355
correct train,0.22602332
correct train,0.04885425
correct train,0.14859007
correct train,0.4802176
correct train,0.6477401
correct train,0.27872053
correct train,0.030436762
correct train,0.5994025
correct train,0.23276366
correct train,0.33232954
correct train,0.36151832
correct train,0.00473205
correct train,0.044375524
correct train,0.3814089
correct train,0.010301406
correct train,0.31114626
correct train,0.26909244
correct train,0.36716035
correct train,0.3064226
correct train,0.45589393
correct train,0.32407147
correct train,0.22301698
correct train,0.6457857
correct train,0.37713864
correct train,0.47647488
correct train,0.24042962
correct train,0.06933665
correct train,0.0001009735
correct train,0.28826573
correct train,0.38361183
correct train,3.335619e-05
correct train,0.31696823
correct train,0.5529613
correct train,0.39882702
correct train,0.55389917
correct train,0.29073405
correct train,0.353791
correct train,0.20345747
correct train,0.0032516029
