model,attack,epsilon,distance_class_0,distance_class_1,wasserstein_class0,wasserstein_class1
spambase_generic_25,FGSM,0.01,1.491226077079773,1.4680213928222656,0.29538512338485634,0.29600692575820636
spambase_generic_25,FGSM,0.05,1.5093821287155151,1.432410478591919,0.28821309058120137,0.2983075160649715
spambase_generic_25,FGSM,0.1,1.448427677154541,1.4238091707229614,0.2950394338863955,0.2904607593293284
spambase_generic_25,DF_L2,0.01,1.3163245916366577,1.616254448890686,0.29655038049718596,0.328112733855811
spambase_generic_25,DF_L2,0.05,1.2645026445388794,1.80193030834198,0.3000311269103308,0.3478639354304663
spambase_generic_25,DF_L2,0.1,1.4086084365844727,1.3838685750961304,0.30215567908370283,0.32212460589970116
spambase_generic_25,DF_Linf,0.01,1.5623090267181396,1.3590643405914307,0.30523711871906584,0.2871594288448215
spambase_generic_25,DF_Linf,0.05,1.4026808738708496,1.4187833070755005,0.2850920188353178,0.2801760010832097
spambase_generic_25,DF_Linf,0.1,1.4149813652038574,1.519258975982666,0.295842272928322,0.30875893968655455
spambase_generic_25,BIM_Linf,0.01,1.324258804321289,1.4293056726455688,0.28280188116980254,0.30488407598055006
spambase_generic_25,BIM_Linf,0.05,1.4650832414627075,1.4301323890686035,0.2915376086895042,0.2956317592586312
spambase_generic_25,BIM_Linf,0.1,1.5028947591781616,1.5083109140396118,0.29659028239858964,0.29076499342680345
spambase_generic_50,FGSM,0.01,1.1672366857528687,1.5257811546325684,0.26019274260559716,0.2953679716758155
spambase_generic_50,FGSM,0.05,1.3786427974700928,1.6629446744918823,0.28307571810017296,0.2941034742433649
spambase_generic_50,FGSM,0.1,1.576500654220581,1.3683803081512451,0.2969871942071055,0.27809387978954614
spambase_generic_50,DF_L2,0.01,1.3262550830841064,1.4401129484176636,0.30263292776511946,0.3221640207780725
spambase_generic_50,DF_L2,0.05,1.6411422491073608,1.3679944276809692,0.3393896794779874,0.3197223783228726
spambase_generic_50,DF_L2,0.1,1.9593315124511719,1.4408971071243286,0.3564753682530661,0.3204562404995266
spambase_generic_50,DF_Linf,0.01,1.41880464553833,1.427088737487793,0.2769376090482862,0.2822824443943436
spambase_generic_50,DF_Linf,0.05,1.555456280708313,1.5623271465301514,0.28422143086475005,0.2895918453617698
spambase_generic_50,DF_Linf,0.1,1.498697280883789,1.8710284233093262,0.2748159602251501,0.3154626423382277
spambase_generic_50,BIM_Linf,0.01,1.3206093311309814,1.5322728157043457,0.28714818095992317,0.300601501205695
spambase_generic_50,BIM_Linf,0.05,1.6060667037963867,1.38890540599823,0.28858003444917896,0.2903252816564274
spambase_generic_50,BIM_Linf,0.1,1.4248764514923096,1.5925816297531128,0.29419465950186574,0.2904640788895606
spambase_generic_100,FGSM,0.01,1.4558405876159668,1.388944387435913,0.2954638618496638,0.303616538891666
spambase_generic_100,FGSM,0.05,1.5851004123687744,1.5452773571014404,0.2905067717465986,0.3066694287055642
spambase_generic_100,FGSM,0.1,1.3939225673675537,1.5928692817687988,0.29231724092283723,0.3271728742668468
spambase_generic_100,DF_L2,0.01,1.1940019130706787,1.5194300413131714,0.29667499762566807,0.32192100186237466
spambase_generic_100,DF_L2,0.05,1.350095272064209,1.0932108163833618,0.31618468427089413,0.2890176250593204
spambase_generic_100,DF_L2,0.1,1.0274837017059326,1.4792263507843018,0.2900929155628201,0.32299640435580707
spambase_generic_100,DF_Linf,0.01,1.4867416620254517,1.4359458684921265,0.3022419236795797,0.2888293261555058
spambase_generic_100,DF_Linf,0.05,1.6293978691101074,1.389522910118103,0.3057079085779749,0.30116384363826854
spambase_generic_100,DF_Linf,0.1,1.3442586660385132,1.428131103515625,0.2857586997369527,0.3036322837970462
spambase_generic_100,BIM_Linf,0.01,1.3135268688201904,1.4117103815078735,0.2923634648637248,0.3041675596431565
spambase_generic_100,BIM_Linf,0.05,1.360257625579834,1.5471632480621338,0.3025115940535489,0.3152922317440307
spambase_generic_100,BIM_Linf,0.1,1.287168025970459,1.4503520727157593,0.28947847122789977,0.3180665938765592
spambase_generic_200,FGSM,0.01,1.382759690284729,1.4982343912124634,0.29164646160240704,0.2983488376704748
spambase_generic_200,FGSM,0.05,1.473854422569275,1.5526525974273682,0.31448436232746924,0.3017434719874773
spambase_generic_200,FGSM,0.1,1.2394336462020874,1.5222182273864746,0.29039943896595927,0.2947619723744193
spambase_generic_200,DF_L2,0.01,1.363580584526062,1.262722373008728,0.3217892604301712,0.32231821425396395
spambase_generic_200,DF_L2,0.05,1.0926904678344727,1.2913882732391357,0.28928598607950834,0.311134928476235
spambase_generic_200,DF_L2,0.1,1.1501222848892212,1.6271673440933228,0.2974125685666334,0.3395092094715725
spambase_generic_200,DF_Linf,0.01,1.5096800327301025,1.5235893726348877,0.29051908512670604,0.28969719417959877
spambase_generic_200,DF_Linf,0.05,1.469915747642517,1.4595232009887695,0.2957532496353057,0.2905485802173421
