entropy,information_content,probability_gap,any,all,attack,alpha
0.2111111111111111,0.7111111111111111,0.03333333333333333,0.7444444444444445,0.0,fgsm,0.009999999776482582
0.22105263157894736,0.6947368421052632,0.07368421052631578,0.7684210526315789,0.0,bim,0.009999999776482582
0.2608695652173913,1.0,0.0,1.0,0.0,deepfool,0.009999999776482582
0.32222222222222224,0.8666666666666667,0.18888888888888888,1.0,0.0,fgsm,0.019999999552965164
0.3157894736842105,0.8631578947368421,0.22105263157894736,1.0,0.0,bim,0.019999999552965164
0.5434782608695652,1.0,0.0,1.0,0.0,deepfool,0.019999999552965164
0.6,0.9666666666666667,0.3888888888888889,1.0,0.0,fgsm,0.030000001192092896
0.5894736842105263,0.9473684210526315,0.3894736842105263,1.0,0.0,bim,0.030000001192092896
1.0,1.0,0.0,1.0,0.0,deepfool,0.030000001192092896
0.7222222222222222,0.9777777777777777,0.7222222222222222,1.0,0.4444444444444444,fgsm,0.04000000283122063
0.7157894736842105,0.968421052631579,0.7157894736842105,1.0,0.43157894736842106,bim,0.04000000283122063
1.0,1.0,0.5760869565217391,1.0,0.5760869565217391,deepfool,0.04000000283122063
0.8444444444444444,0.9888888888888889,0.7888888888888889,1.0,0.6333333333333333,fgsm,0.05000000447034836
0.8315789473684211,0.9894736842105263,0.7789473684210526,1.0,0.6105263157894737,bim,0.05000000447034836
1.0,1.0,0.7282608695652174,1.0,0.7282608695652174,deepfool,0.05000000447034836
0.9111111111111111,1.0,0.8222222222222222,1.0,0.7333333333333333,fgsm,0.05999999865889549
0.8947368421052632,1.0,0.8210526315789474,1.0,0.7157894736842105,bim,0.05999999865889549
1.0,1.0,0.782608695652174,1.0,0.782608695652174,deepfool,0.05999999865889549
0.9666666666666667,1.0,0.8222222222222222,1.0,0.7888888888888889,fgsm,0.07000000029802322
0.968421052631579,1.0,0.8526315789473684,1.0,0.8210526315789474,bim,0.07000000029802322
1.0,1.0,0.8152173913043478,1.0,0.8152173913043478,deepfool,0.07000000029802322
0.9777777777777777,1.0,0.8333333333333334,1.0,0.8111111111111111,fgsm,0.07999999821186066
0.9789473684210527,1.0,0.8631578947368421,1.0,0.8421052631578947,bim,0.07999999821186066
1.0,1.0,0.8260869565217391,1.0,0.8260869565217391,deepfool,0.07999999821186066
0.9888888888888889,1.0,0.8333333333333334,1.0,0.8222222222222222,fgsm,0.09000000357627869
0.9894736842105263,1.0,0.8631578947368421,1.0,0.8526315789473684,bim,0.09000000357627869
1.0,1.0,0.8260869565217391,1.0,0.8260869565217391,deepfool,0.09000000357627869
1.0,1.0,0.8444444444444444,1.0,0.8444444444444444,fgsm,0.10000000149011612
1.0,1.0,0.8631578947368421,1.0,0.8631578947368421,bim,0.10000000149011612
1.0,1.0,0.8260869565217391,1.0,0.8260869565217391,deepfool,0.10000000149011612
