epochs,attack,epsilon,distance_class0,distance_class1,hidden_size
50,BIM_linf,0.01,1.3848645687103271,1.3951339721679688,166
50,BIM_linf,0.01,1.3227347135543823,1.3795619010925293,167
50,BIM_linf,0.01,1.3497005701065063,1.2717622518539429,168
50,BIM_linf,0.01,1.2784388065338137,1.2588990926742554,169
50,BIM_linf,0.01,1.278728723526001,1.4450699090957642,170
50,BIM_linf,0.01,1.2103227376937866,1.362014651298523,171
50,BIM_linf,0.01,1.2358168363571167,1.4171106815338137,172
50,BIM_linf,0.01,1.488863229751587,1.2825433015823364,173
50,BIM_linf,0.01,1.462234616279602,1.3847441673278809,174
50,BIM_linf,0.01,1.3266050815582275,1.416396141052246,175
50,BIM_linf,0.01,1.3687306642532349,1.432437539100647,176
50,BIM_linf,0.01,1.3561769723892212,1.3471180200576782,177
50,BIM_linf,0.01,1.423861026763916,1.386912226676941,178
50,BIM_linf,0.01,1.4279335737228394,1.1390812397003174,179
50,BIM_linf,0.01,1.291230082511902,1.327583074569702,180
50,BIM_linf,0.01,1.1710125207901,1.331490397453308,181
50,BIM_linf,0.01,1.279807448387146,1.2470440864562988,182
50,BIM_linf,0.01,1.276095271110535,1.246002435684204,183
50,BIM_linf,0.01,1.2958693504333496,1.5079246759414673,184
50,BIM_linf,0.01,1.2698997259140017,1.378366470336914,185
50,BIM_linf,0.01,1.3835091590881348,1.3344299793243408,186
50,BIM_linf,0.01,1.3310766220092771,1.3506051301956177,187
50,BIM_linf,0.01,1.3518460988998413,1.2225643396377563,188
50,BIM_linf,0.01,1.247122883796692,1.38536274433136,189
50,BIM_linf,0.01,1.29609215259552,1.1625295877456665,190
50,BIM_linf,0.01,1.2505102157592771,1.295299768447876,191
50,BIM_linf,0.01,1.2596051692962646,1.2687705755233765,192
50,BIM_linf,0.01,1.2480915784835815,1.3811676502227783,193
50,BIM_linf,0.01,1.2964959144592283,1.3374676704406738,194
50,BIM_linf,0.01,1.3300217390060425,1.2785803079605105,195
50,BIM_linf,0.01,1.42460036277771,1.260691523551941,196
50,BIM_linf,0.01,1.3748679161071775,1.4137550592422483,197
50,BIM_linf,0.01,1.3078956604003906,1.3444732427597046,198
50,BIM_linf,0.01,1.29876446723938,1.2236058712005615,199
50,BIM_linf,0.01,1.2987815141677856,1.2285457849502563,200
