intensity,features_shifted,is_correct,entropy
0.5,5,True,0.32855207
0.5,5,True,0.23659663
0.5,5,True,0.21693653
0.5,5,True,0.5093177
0.5,5,True,0.16251351
0.5,5,True,0.3522242
0.5,5,True,0.03994257
0.5,5,True,0.2627816
0.5,5,False,0.45316398
0.5,5,True,0.05737507
0.5,5,True,0.2864392
0.5,5,True,0.42052642
0.5,5,True,0.51901245
0.5,5,True,0.25290567
0.5,5,True,0.4923067
0.5,5,False,0.32384107
0.5,5,True,0.6047055
0.5,5,True,0.284637
0.5,5,True,0.3241338
0.5,5,True,0.14559227
0.5,5,True,3.4989027e-06
0.5,5,False,0.6770816
0.5,5,True,0.064505525
0.5,5,True,0.6890421
0.5,5,True,0.00045232128
0.5,5,True,0.29242003
0.5,5,True,0.69281214
0.5,5,True,0.58397007
0.5,5,True,0.00029489349
0.5,5,True,0.28773695
0.5,5,True,0.1775015
0.5,5,True,0.025334477
0.5,5,True,0.53070605
0.5,5,True,0.5381271
0.5,5,True,0.15464774
0.5,5,True,0.31971338
0.5,5,True,0.6069916
0.5,5,True,0.0051038284
0.5,5,True,0.5382552
0.5,5,True,0.27043304
0.5,5,True,0.6012606
0.5,5,True,0.00072240416
0.5,5,True,0.37634814
0.5,5,True,0.15690337
0.5,5,True,0.3413126
0.5,5,True,0.06551083
0.5,5,True,0.001041104
0.5,5,True,0.5830953
0.5,5,True,0.6535655
0.5,5,True,2.0346946e-05
0.5,5,True,0.5710727
0.5,5,True,0.5235509
0.5,5,True,0.30284342
0.5,5,True,0.48239496
0.5,5,True,0.48954546
0.5,5,True,0.0015211349
0.5,5,True,0.07916825
0.5,5,True,0.4207933
0.5,5,True,0.5680295
0.5,5,True,0.28261063
0.5,5,False,0.68256104
0.5,5,True,0.22672723
0.5,5,True,0.61175525
0.5,5,True,0.11803156
0.5,5,True,0.4251642
0.5,5,True,0.02170645
0.5,5,True,0.4971368
0.5,5,True,0.34627768
0.5,5,True,0.31801164
0.5,5,True,0.2348193
0.5,5,True,0.031528503
0.5,5,True,0.0010431889
0.5,5,False,0.69314516
0.5,5,True,0.35555887
0.5,5,True,9.09741e-05
0.5,5,True,0.32845533
0.5,5,True,1.9197241e-05
0.5,5,True,0.18712488
0.5,5,True,0.04289907
0.5,5,True,0.2661762
0.5,5,True,0.43038183
0.5,5,True,0.00022192848
0.5,5,True,0.013667268
0.5,5,True,0.6014633
0.5,5,True,0.0001984282
0.5,5,True,0.65415907
0.5,5,True,0.63688016
0.5,5,True,0.07962
0.5,5,True,0.00973523
0.5,5,True,0.51727295
0.5,5,False,0.693126
0.5,5,True,0.32113257
0.5,5,True,0.034332294
0.5,5,True,0.06121456
0.5,5,True,0.3039484
0.5,5,False,0.6858574
0.5,5,True,0.26192725
0.5,5,True,0.44713
0.5,5,True,0.5594183
0.5,5,True,0.40215445
0.5,5,True,0.033248138
0.5,5,True,0.00024183317
0.5,5,True,0.16256055
0.5,5,False,0.31111255
0.5,5,True,0.3373038
0.5,5,True,0.59736025
0.5,5,True,2.6767514e-06
0.5,5,True,0.634045
0.5,5,True,0.5601953
0.5,5,True,0.26292965
0.5,5,True,0.054775245
0.5,5,True,0.5381271
0.5,5,True,0.399453
0.5,5,True,0.38665292
0.5,5,True,0.26973382
0.5,5,False,0.68930835
0.5,5,True,0.109088525
0.5,5,True,0.2854727
0.5,5,True,0.5708507
0.5,5,True,0.634191
0.5,5,True,0.5389676
0.5,5,True,0.46924004
0.5,5,False,0.68721294
0.5,5,True,0.31690592
0.5,5,True,0.0001060372
0.5,5,True,0.5443718
0.5,5,True,0.6693194
0.5,5,True,0.03994257
0.5,5,True,0.31851247
0.5,5,True,0.630368
0.5,5,True,0.68462574
0.5,5,True,0.26969633
0.5,5,True,8.909286e-08
0.5,5,True,0.33904752
0.5,5,True,0.35071778
0.5,5,True,0.2458811
0.5,5,False,0.35719556
0.5,5,True,0.46221155
0.5,5,True,0.33764988
0.5,5,True,0.5595494
0.5,5,True,0.6187026
0.5,5,True,0.001041104
0.5,5,True,0.06620245
0.5,5,True,0.30880684
0.5,5,True,0.40131658
0.5,5,True,0.3639662
0.5,5,True,0.040962607
0.5,5,True,1.073464e-15
0.5,5,True,0.074358284
0.5,5,True,0.13304293
0.5,5,True,0.4761411
0.5,5,True,0.40217656
0.5,5,True,0.40997845
0.5,5,True,0.21920666
0.5,5,True,0.2806286
0.5,5,True,0.6653983
0.5,5,True,0.38320732
0.5,5,True,0.14365551
0.5,5,True,0.53099096
0.5,5,True,0.17923689
0.5,5,True,0.3600515
0.5,5,True,7.240175e-05
0.5,5,True,0.0002791741
0.5,5,True,0.24098232
0.5,5,False,0.69300866
0.5,5,True,0.68996286
0.5,5,True,0.32025707
0.5,5,True,0.41978168
0.5,5,True,0.30650246
0.5,5,True,0.3275403
0.5,5,True,0.66628695
0.5,5,False,0.6702702
0.5,5,True,0.6398479
0.5,5,True,0.5876491
0.5,5,True,0.16078886
0.5,5,True,0.40911293
0.5,5,True,0.06681834
0.5,5,True,0.45731652
0.5,5,True,0.31070572
0.5,5,True,0.25565925
0.5,5,True,0.6119919
0.5,5,True,0.6450988
0.5,5,True,0.65825343
0.5,5,True,0.051438093
0.5,5,True,0.2525169
0.5,5,True,0.0029978198
0.5,5,True,0.21063253
0.5,5,True,0.28813973
0.5,5,True,0.04739479
0.5,5,True,0.18553728
0.5,5,True,0.63715816
0.5,5,True,0.07706481
0.5,5,True,0.36057496
0.5,5,True,0.47974348
0.5,5,True,0.20619527
0.5,5,True,0.29051527
0.5,5,True,0.053435598
0.5,5,True,0.056122452
0.5,5,True,0.06453798
0.5,5,True,0.33325392
0.5,5,True,0.26639202
0.5,5,True,0.39485592
0.5,5,True,0.026536195
0.5,5,False,0.6835371
0.5,5,True,0.3335053
0.5,5,True,0.5930415
0.5,5,True,0.6321026
0.5,5,True,0.4030314
0.5,5,False,0.69308865
0.5,5,True,0.3723328
0.5,5,True,0.4531492
0.5,5,True,0.5527891
0.5,5,False,0.29850623
0.5,5,True,0.35601783
0.5,5,False,0.6147812
0.5,5,True,0.0027097461
0.5,5,True,0.34430853
0.5,5,True,0.2899809
0.5,5,True,0.3781219
0.5,5,True,0.5506901
0.5,5,True,0.26494786
0.5,5,False,0.6109848
0.5,5,True,0.00026350093
0.5,5,True,1.3070799e-07
0.5,5,True,0.53039724
0.5,5,True,0.0044153193
0.5,5,True,0.001041104
0.5,5,False,0.6285091
0.5,5,True,0.33614564
0.5,5,True,0.036022995
0.5,5,True,0.26921862
0.5,5,True,0.6884318
0.5,5,True,0.47016764
0.5,5,True,0.12850548
0.5,5,True,3.8810103e-05
0.5,5,True,0.30703506
0.5,5,True,0.002496638
0.5,5,True,0.2349089
0.5,5,True,0.001041104
0.5,5,True,0.69052994
0.5,5,True,0.31042844
0.5,5,False,0.678224
0.5,5,True,0.2972868
0.5,5,True,4.1895896e-06
0.5,5,False,0.43034452
0.5,5,True,0.18112671
0.5,5,True,0.20116672
0.5,5,True,0.4744848
0.5,5,True,0.24279651
0.5,5,True,0.6589546
0.5,5,True,0.46707493
0.5,5,True,0.29628512
0.5,5,False,0.6765522
0.5,5,True,0.57797456
0.5,5,True,0.45558187
0.5,5,True,0.19378364
0.5,5,True,0.31368968
0.5,5,True,0.25978872
0.5,5,True,0.65158105
0.5,5,True,0.5787113
0.5,5,True,0.3107438
0.5,5,True,0.24731088
0.5,5,True,0.35407588
0.5,5,True,0.31206632
0.5,5,True,0.46942052
0.5,5,True,0.31459597
0.5,5,True,0.24034578
0.5,5,True,0.3593837
0.5,5,True,0.28433487
0.5,5,True,0.23053738
0.5,5,True,0.58404756
0.5,5,True,0.32329714
0.5,5,True,0.19555108
0.5,5,True,0.55053806
0.5,5,True,0.08739468
0.5,5,True,0.4271782
0.5,5,True,0.026121639
0.5,5,True,0.35529405
0.5,5,True,0.00063398253
0.5,5,True,0.59394956
0.5,5,True,0.67098004
0.5,5,True,0.001041104
0.5,5,True,0.1612659
0.5,5,True,0.18504006
0.5,5,True,0.35534358
0.5,5,True,0.30786505
0.5,5,True,0.5099013
0.5,5,True,0.005062605
0.5,5,True,0.2843447
0.5,5,True,0.38645405
0.5,5,True,0.14019695
0.5,5,True,0.31720716
0.5,5,True,0.1967705
0.5,5,True,0.012995761
0.5,5,True,0.23064479
0.5,5,True,0.36211926
0.5,5,True,0.39761162
0.5,5,True,0.36354077
0.5,5,True,0.23070395
0.5,5,True,0.66370416
0.5,5,True,0.46132863
0.5,5,True,0.68548584
0.5,5,True,0.22561133
0.5,5,True,0.32227123
0.5,5,True,0.30030835
0.5,5,True,0.3006962
0.5,5,True,0.33588406
0.5,5,True,0.27785423
0.5,5,True,0.6931455
0.5,5,True,0.40823448
0.5,5,True,0.32158253
0.5,5,True,0.29188338
0.5,5,True,0.54418314
0.5,5,True,0.3409298
0.5,5,True,0.2661762
0.5,5,True,0.278315
0.5,5,True,0.34863365
0.5,5,True,0.07780933
0.5,5,True,0.35662723
0.5,5,True,0.53115153
0.5,5,True,0.26108944
0.5,5,True,0.6484164
0.5,5,True,0.54731274
0.5,5,True,0.36350828
